Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Value,Token
"0x47b0aeea471f42d41c65269b9236b94258030d87544745d68c052c9d7b99e469","Success","Withdraw","19846739","2024-05-11 12:18:35","0x6f8d7f21c6d6a5862c6c8beef6457ebd08814e77","","0x0000000000000000000000000000000000000000","Null: 0x000...000","0.0001666","Blur Pool(Blur Pool)"
"0x6aa7f1a7f16dd2624f396219c4ca17c50e63f10fca332ac3130e8eec9be55e1f","Success","Receive Message","19846739","2024-05-11 12:18:35","0x0000000000000000000000000000000000000000","Null: 0x000...000","0xd0d2c5dc4879909491cdafec9741ab22800cee3e","","4,999.991866","USDC(USDC)"
"0xb3d32a5d191f7370a2d646c0ca7414b03e42d1dd60764ccbbe2d493f627fccb5","Success","Transfer From","19846739","2024-05-11 12:18:35","0x26b70d2242c5f41ab8ab1002968032a7c4d45867","","0x55fe002aeff02f77364de339a1292923a15844b8","Circle","1,644,984","USDC(USDC)"
"0x716ddf750838a7341e2e702b4f421ea7aefa4c22bc47907a9bb4bdb6814a15a7","Success","Claim","19846739","2024-05-11 12:18:35","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","EigenLayer: Airdrop Distributor","0x73892ad2989407da25e449505748c822cd70b083","","100","Eigen(EIGEN)"
"0xe94229d8ab419626a224f24ac8fe2edff572905b7ea4007929d4be4b4bad3919","Success","Claim","19846739","2024-05-11 12:18:35","0xed27bf2baa523f63170f722ddc42c5e59c282670","","0x0c56072716b295249a4ddae2e7362b4a8d06d5ba","","432.524548695","GamerCoin(GHX)"
"0xd17365b8a09a2feb810ffd634a467133dcce93cc6a2428e60fbc023651ef4e98","Success","Deposit Into Strategy","19846739","2024-05-11 12:18:35","0xc595366df494397de666c2daf1d642c425632af7","pearcedith.eth","0xacb55c530acdb2849e6d4f36992cd8c9d50ed8f7","","136.746099084","Eigen(EIGEN)"
"0xd17365b8a09a2feb810ffd634a467133dcce93cc6a2428e60fbc023651ef4e98","Success","Deposit Into Strategy","19846739","2024-05-11 12:18:35","0xec53bf9167f50cdeb3ae105f56099aaab9061f83","EigenLayer: EIGEN Token","0xacb55c530acdb2849e6d4f36992cd8c9d50ed8f7","","136.746099084","Backing Eigen(bEIGEN)"
"0xd17365b8a09a2feb810ffd634a467133dcce93cc6a2428e60fbc023651ef4e98","Success","Deposit Into Strategy","19846739","2024-05-11 12:18:35","0xacb55c530acdb2849e6d4f36992cd8c9d50ed8f7","","0xec53bf9167f50cdeb3ae105f56099aaab9061f83","EigenLayer: EIGEN Token","136.746099084","Eigen(EIGEN)"
"0x564bc3e4d4ef50553207dffdc58e6befd1282752c3d958ec3c467a5846f8f7da","Success","Deposit Into Strategy","19846739","2024-05-11 12:18:35","0xacb55c530acdb2849e6d4f36992cd8c9d50ed8f7","","0xec53bf9167f50cdeb3ae105f56099aaab9061f83","EigenLayer: EIGEN Token","116.238531628","Eigen(EIGEN)"
"0x564bc3e4d4ef50553207dffdc58e6befd1282752c3d958ec3c467a5846f8f7da","Success","Deposit Into Strategy","19846739","2024-05-11 12:18:35","0xf89a43e49632182b9d15cc180a5413652c5280ff","","0xacb55c530acdb2849e6d4f36992cd8c9d50ed8f7","","116.238531628","Eigen(EIGEN)"
"0x564bc3e4d4ef50553207dffdc58e6befd1282752c3d958ec3c467a5846f8f7da","Success","Deposit Into Strategy","19846739","2024-05-11 12:18:35","0xec53bf9167f50cdeb3ae105f56099aaab9061f83","EigenLayer: EIGEN Token","0xacb55c530acdb2849e6d4f36992cd8c9d50ed8f7","","116.238531628","Backing Eigen(bEIGEN)"
"0xa8724b64018fc03b2165c38005f69045088b7d555f33c3a9081a89a5de829eca","Success","Claim","19846739","2024-05-11 12:18:35","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","EigenLayer: Airdrop Distributor","0xf22862b5c8d5a17a68536521e0c82c5387bd65af","dystopiaverse.eth","100","Eigen(EIGEN)"
"0x87b316482b7d611cf9b72fb64421daa0bbe7b19676ce38f75636152d5881e758","Success","Deposit Token","19846739","2024-05-11 12:18:35","0x3f1dabed46405aae73d32b2c7b0ee9997968f98f","","0x9d70cca185e7a5651c851222a46564186e633a3b","","1,193","AIT Protocol(AIT)"
"0xc462b0db521a4a17dc0ebeaf994578b069b53b2af6845c3be6afbc8bbc0529e7","Success","Transfer","19846739","2024-05-11 12:18:35","0xb796cd6962d8ce7e5a301140bac3dbc948992417","","0x343120501a5ae01703af62275ad4cab496875532","","1.18703","Tether USD(USDT)"
"0x72eb8e395f03f4a1a1ab5ccbdf1f14d0524b7b0306991e7e046ffa4125056300","Success","Transfer","19846739","2024-05-11 12:18:35","0x6c04141a2545516ce12aca9a51380252c1a289c7","","0x1c863e748303b0717bb4b632b2b3716e150d75a8","","1,295","Arkham(ARKM)"
"0xd0c6007bdb86c9b6b578ae1e9cdf3aff507975ff4d49d1e5ed9397fd6311f745","Success","Deposit Into Strategy","19846739","2024-05-11 12:18:35","0xacb55c530acdb2849e6d4f36992cd8c9d50ed8f7","","0xec53bf9167f50cdeb3ae105f56099aaab9061f83","EigenLayer: EIGEN Token","115.110358954","Eigen(EIGEN)"
"0xd0c6007bdb86c9b6b578ae1e9cdf3aff507975ff4d49d1e5ed9397fd6311f745","Success","Deposit Into Strategy","19846739","2024-05-11 12:18:35","0xadb8f9daf9abe4618bb3a66f4eaa26e8370c6a8f","","0xacb55c530acdb2849e6d4f36992cd8c9d50ed8f7","","115.110358954","Eigen(EIGEN)"
"0xd0c6007bdb86c9b6b578ae1e9cdf3aff507975ff4d49d1e5ed9397fd6311f745","Success","Deposit Into Strategy","19846739","2024-05-11 12:18:35","0xec53bf9167f50cdeb3ae105f56099aaab9061f83","EigenLayer: EIGEN Token","0xacb55c530acdb2849e6d4f36992cd8c9d50ed8f7","","115.110358954","Backing Eigen(bEIGEN)"
"0x2a8cc664a83b0e7884f3c6c08818843b9c12506902833c45e25de88922a23a7a","Success","Claim","19846739","2024-05-11 12:18:35","0x035bdaeab85e47710c27eda7fd754ba80ad4ad02","EigenLayer: Airdrop Distributor","0x3e9395b6fddaeeec6cbe22ee642be0e9eddc0f6c","parissun.eth","110","Eigen(EIGEN)"
"0x6f9630a6a1586ebb7f333e94f7085357f63568b2cee1faf3bb935e9b550f883a","Success","Process Route","19846739","2024-05-11 12:18:35","0x7080ecd5d9b840da876c6f38fed7ff20343db60f","Uniswap V2: WWDCoin","0x8d17c40a39141d917e51a4961fbef605de89270d","","3,424,097,031.814374266","APPLE WWDC TONKEN(WWDCoin)"
"0x6f9630a6a1586ebb7f333e94f7085357f63568b2cee1faf3bb935e9b550f883a","Success","Process Route","19846739","2024-05-11 12:18:35","0xe43ca1dee3f0fc1e2df73a0745674545f11a59f5","","0x7080ecd5d9b840da876c6f38fed7ff20343db60f","Uniswap V2: WWDCoin","1","Wrapped Ether(WETH)"
"0x8b8ece6d98208b03839b4e5e16968421818efd70dfbaccc4eb989e4eaf2aa16f","Success","Deposit Into Strategy","19846739","2024-05-11 12:18:35","0x4e5311b27ef7cb83883fefaa87480d550e423244","","0xacb55c530acdb2849e6d4f36992cd8c9d50ed8f7","","110","Eigen(EIGEN)"
"0x8b8ece6d98208b03839b4e5e16968421818efd70dfbaccc4eb989e4eaf2aa16f","Success","Deposit Into Strategy","19846739","2024-05-11 12:18:35","0xec53bf9167f50cdeb3ae105f56099aaab9061f83","EigenLayer: EIGEN Token","0xacb55c530acdb2849e6d4f36992cd8c9d50ed8f7","","110","Backing Eigen(bEIGEN)"
"0x8b8ece6d98208b03839b4e5e16968421818efd70dfbaccc4eb989e4eaf2aa16f","Success","Deposit Into Strategy","19846739","2024-05-11 12:18:35","0xacb55c530acdb2849e6d4f36992cd8c9d50ed8f7","","0xec53bf9167f50cdeb3ae105f56099aaab9061f83","EigenLayer: EIGEN Token","110","Eigen(EIGEN)"
